symbol,concept,contexts,types
aleuritesMoluccanus,hawaii,generalOrUnknown,Simulation
algae,longevity,generalOrUnknown,Simulation
alinganoMaisu,hawaii,generalOrUnknown,Simulation
alisVolatPropriis,oregon,generalOrUnknown,Simulation
allahPeliharakanSultan,brunei,generalOrUnknown,Simulation
allahuAkbarAnthem,libya,generalOrUnknown,Simulation
allegoricalRepresentationsOfArgentina,argentina,generalOrUnknown,Simulation
allegoryOfHispania,spain,generalOrUnknown,Simulation
allHailLiberiaHail,liberia,generalOrUnknown,Simulation
allosaurus,utah,generalOrUnknown,Simulation
allSeeingEye,sigmaMuSigma,heraldic,Simulation
almightyKnight,psiSigmaPhi,heraldic,Simulation
almsBowl,aBuddhistMonk,buddhist,AttributeSimulation
almsBowl,aloofnessFromLife,generalOrUnknown,Simulation
almsBowl,begging,generalOrUnknown,Simulation
almsBowl,surrenderOfTheEgo,generalOrUnknown,Simulation
almsBowl,benevolence,generalOrUnknown,Simulation
chamomile,aches,generalOrUnknown,HealingSimulation
chamomile,colds,generalOrUnknown,HealingSimulation
chamomile,pains,generalOrUnknown,HealingSimulation
chamomile,pleurisy,generalOrUnknown,HealingSimulation
chamomile,toothache,generalOrUnknown,HealingSimulation
chamomile,weakStomachs,generalOrUnknown,HealingSimulation
coatOfArmsOfLiberia,liberia,generalOrUnknown,Simulation
coatOfArmsOfLibya,libya,generalOrUnknown,Simulation
coatOfArmsOfLiechtenstein,liechtenstein,generalOrUnknown,Simulation
coatOfArmsOfLithuania,lithuania,generalOrUnknown,Simulation
coatOfArmsOfLuxembourg,luxembourg,generalOrUnknown,Simulation
coatOfArmsOfMalawi,malawi,generalOrUnknown,Simulation
coatOfArmsOfMalaysia,malaysia,generalOrUnknown,Simulation
coatOfArmsOfMali,mali,generalOrUnknown,Simulation
coatOfArmsOfMalta,malta,generalOrUnknown,Simulation
coatOfArmsOfManitoba,manitoba,generalOrUnknown,Simulation
coatOfArmsOfMauritius,mauritius,generalOrUnknown,Simulation
coatOfArmsOfMexico,mexico,generalOrUnknown,Simulation
coatOfArmsOfMississippi,mississippi,generalOrUnknown,Simulation
coatOfArmsOfMoldova,moldova,generalOrUnknown,Simulation
coatOfArmsOfMonaco,monaco,generalOrUnknown,Simulation
coatOfArmsOfMoncton,newBrunswick,generalOrUnknown,Simulation
coatOfArmsOfMontenegro,montenegro,generalOrUnknown,Simulation
coatOfArmsOfMorocco,morocco,generalOrUnknown,Simulation
coatOfArmsOfNamibia,namibia,generalOrUnknown,Simulation
coatOfArmsOfNauru,nauru,generalOrUnknown,Simulation
coatOfArmsOfNewBrunswick,newBrunswick,generalOrUnknown,Simulation
coatOfArmsOfNewfoundlandAndLabrador,newfoundlandAndLabrador,generalOrUnknown,Simulation
coatOfArmsOfNewYork,newYorkState,generalOrUnknown,Simulation
coatOfArmsOfNewZealand,newZealand,generalOrUnknown,Simulation
coatOfArmsOfNicaragua,nicaragua,generalOrUnknown,Simulation
coatOfArmsOfNiger,niger,generalOrUnknown,Simulation
coatOfArmsOfNigeria,nigeria,generalOrUnknown,Simulation
coatOfArmsOfNorthDakota,northDakota,generalOrUnknown,Simulation
coatOfArmsOfNorthernIreland,northernIreland,generalOrUnknown,Simulation
coatOfArmsOfNorway,norway,generalOrUnknown,Simulation
coatOfArmsOfNovaScotia,novaScotia,generalOrUnknown,Simulation
coatOfArmsOfNunavut,nunavut,generalOrUnknown,Simulation
coatOfArmsOfOntario,ontario,generalOrUnknown,Simulation
coatOfArmsOfPalestine,thePalestinianNationalAuthority,generalOrUnknown,Simulation
coatOfArmsOfPanama,panama,generalOrUnknown,Simulation
coatOfArmsOfParaguay,paraguay,generalOrUnknown,Simulation
coatOfArmsOfPennsylvania,pennsylvania,generalOrUnknown,Simulation
coatOfArmsOfPoland,poland,generalOrUnknown,Simulation
coatOfArmsOfPortugal,portugal,generalOrUnknown,Simulation
coatOfArmsOfPrinceEdwardIsland,princeEdwardIsland,generalOrUnknown,Simulation
coatOfArmsOfPuertoRico,puertoRico,generalOrUnknown,Simulation
coatOfArmsOfQuebec,quebec,generalOrUnknown,Simulation
coatOfArmsOfRhodeIsland,rhodeIsland,generalOrUnknown,Simulation
coatOfArmsOfRomania,romania,generalOrUnknown,Simulation
coatOfArmsOfRussia,russia,generalOrUnknown,Simulation
coatOfArmsOfSaintKittsAndNevis,saintKittsAndNevis,generalOrUnknown,Simulation
coatOfArmsOfSaintLucia,saintLucia,generalOrUnknown,Simulation
coatOfArmsOfSaintVincentAndTheGrenadines,saintVincentAndTheGrenadines,generalOrUnknown,Simulation
coatOfArmsOfSamoa,samoa,generalOrUnknown,Simulation
coatOfArmsOfSanMarino,sanMarino,generalOrUnknown,Simulation
coatOfArmsOfSaskatchewan,saskatchewan,generalOrUnknown,Simulation
coatOfArmsOfSenegal,senegal,generalOrUnknown,Simulation
coatOfArmsOfSerbia,serbia,generalOrUnknown,Simulation
coatOfArmsOfSerbiaAndMontenegro,yugoslavia,generalOrUnknown,Simulation
